"AGE","GENDER","MARITAL","INCOME","CHILDREN","HISTORY","CATALOGS","AMOUNT"
"Middle","Female","Single",45600,0,"High",12,1322
"Young","Male","Married",73000,0,"None",6,1534
"Young","Male","Single",29600,3,"None",12,583
"Middle","Male","Married",92900,1,"None",6,1705
"Old","Female","Single",13900,0,"Low",6,191
"Young","Male","Married",64300,3,"Low",6,239
"Middle","Male","Married",77100,2,"Medium",6,568
"Young","Female","Single",27500,3,"None",12,571
"Old","Male","Married",81800,0,"High",6,919
"Old","Female","Married",41700,0,"Medium",18,1398
"Old","Female","Married",51000,0,"Medium",12,1025
"Middle","Male","Single",55900,1,"Medium",12,909
"Young","Male","Single",19800,2,"Low",12,209
"Young","Male","Single",17600,0,"None",6,245
"Middle","Male","Married",84100,1,"High",24,2362
"Middle","Male","Married",85600,0,"High",24,3380
"Young","Male","Single",13400,0,"Low",18,424
"Young","Female","Married",47200,1,"Medium",12,1272
"Middle","Male","Married",96300,1,"High",24,1909
"Middle","Male","Married",60500,3,"Low",12,340
"Middle","Female","Single",35800,1,"None",24,1355
"Middle","Male","Married",106100,3,"Low",12,472
"Young","Male","Single",18000,0,"Low",12,303
"Middle","Male","Single",50000,1,"None",6,1079
"Old","Female","Single",58200,0,"Medium",18,981
"Young","Female","Single",13500,2,"Low",12,160
"Middle","Female","Married",59900,1,"None",6,613
"Young","Female","Single",18400,1,"Low",12,662
"Middle","Male","Married",62800,3,"Low",6,177
"Middle","Male","Single",70000,0,"High",6,785
"Young","Female","Single",13600,1,"None",18,349
"Middle","Female","Married",97400,3,"Low",6,213
"Old","Female","Married",37500,0,"Medium",18,1578
"Old","Female","Single",22800,0,"Low",6,258
"Young","Female","Single",14200,0,"None",6,192
"Young","Male","Single",18700,0,"Low",12,289
"Middle","Male","Married",107400,1,"High",24,1821
"Young","Female","Single",28900,0,"Medium",24,905
"Middle","Male","Married",38400,2,"Low",6,188
"Middle","Male","Single",54200,0,"None",18,1405
"Old","Male","Married",102700,0,"None",18,2381
"Young","Female","Single",13300,1,"Low",6,184
"Middle","Male","Single",60200,3,"None",12,1364
"Young","Male","Single",21400,0,"None",12,414
"Young","Female","Single",21700,2,"None",6,387
"Young","Male","Single",23200,1,"Low",24,504
"Middle","Male","Married",64800,2,"Medium",12,574
"Middle","Male","Single",55600,0,"Medium",6,984
"Middle","Male","Married",89500,0,"High",24,5209
"Young","Female","Single",12500,1,"None",12,422
"Middle","Male","Married",87000,0,"High",24,1594
"Middle","Female","Single",31200,3,"None",24,1087
"Young","Female","Single",13700,1,"None",6,163
"Middle","Male","Single",55500,3,"Low",18,427
"Middle","Female","Single",58600,1,"Medium",6,624
"Young","Female","Married",55900,1,"None",6,788
"Young","Female","Single",13700,2,"None",24,414
"Old","Female","Married",81400,0,"High",24,3001
"Old","Female","Married",90500,0,"High",6,863
"Middle","Female","Married",82200,1,"None",12,1517
"Middle","Male","Married",65400,3,"None",6,836
"Middle","Male","Single",74400,0,"High",12,1152
"Young","Male","Married",63300,3,"None",6,1408
"Young","Male","Married",51600,0,"None",12,1082
"Young","Male","Married",55000,0,"None",12,1162
"Middle","Female","Single",43900,2,"Low",6,358
"Young","Female","Single",20300,1,"Low",12,304
"Young","Female","Single",16300,0,"None",12,360
"Middle","Male","Married",97600,2,"Medium",12,1162
"Old","Female","Single",15100,0,"Low",6,348
"Young","Female","Single",12500,3,"None",12,206
"Young","Female","Single",10600,2,"Low",12,114
"Middle","Female","Single",41300,1,"None",18,932
"Young","Female","Single",27200,2,"Low",18,446
"Middle","Male","Married",102400,1,"None",12,2466
"Young","Female","Single",27900,1,"None",12,576
"Old","Male","Married",23800,0,"None",12,428
"Middle","Male","Married",100000,1,"High",24,2247
"Middle","Female","Married",43300,3,"Medium",24,716
"Middle","Male","Married",65800,1,"None",12,1017
"Middle","Female","Married",49700,2,"Low",18,613
"Middle","Female","Married",82300,2,"Medium",12,580
"Middle","Male","Single",41200,0,"Medium",12,841
"Young","Male","Single",29200,0,"Low",18,737
"Middle","Female","Single",51900,2,"None",12,1162
"Middle","Female","Married",85500,2,"Medium",18,895
"Young","Female","Single",12400,3,"Low",18,205
"Middle","Female","Married",111900,1,"None",12,2340
"Middle","Female","Single",40400,1,"Low",24,630
"Young","Male","Single",10900,0,"Low",24,407
"Middle","Male","Married",82400,3,"None",18,2122
"Young","Female","Single",13200,1,"Low",12,227
"Middle","Male","Single",57800,0,"Medium",24,1149
"Old","Female","Married",52200,1,"Medium",12,669
"Middle","Male","Married",64600,2,"None",24,2935
"Middle","Female","Single",43100,0,"None",24,1444
"Old","Female","Married",40100,0,"Medium",12,1384
"Old","Male","Married",84500,0,"None",12,1557
"Old","Male","Married",34500,0,"Medium",12,802
"Young","Female","Married",61000,1,"None",18,1611
"Old","Female","Married",79300,0,"None",12,2047
"Middle","Male","Single",44500,0,"Medium",24,1175
"Young","Male","Married",39700,0,"Medium",18,1011
"Old","Female","Single",30300,0,"Low",18,1062
"Young","Female","Single",20100,1,"Low",12,271
"Old","Male","Married",86500,0,"High",24,2690
"Old","Female","Single",42500,0,"Medium",24,918
"Middle","Male","Married",102300,0,"High",24,2438
"Middle","Female","Single",52600,2,"Medium",12,1307
"Middle","Female","Single",37800,2,"None",12,1185
"Young","Female","Single",20300,2,"Low",12,180
"Middle","Male","Married",71600,1,"None",12,1198
"Young","Male","Married",54500,1,"Medium",18,1001
"Middle","Male","Single",54700,0,"Medium",24,1355
"Middle","Male","Single",58600,2,"None",6,989
"Middle","Male","Single",53800,0,"High",12,1803
"Middle","Female","Married",131500,3,"None",6,2840
"Middle","Male","Single",52200,0,"High",24,1909
"Young","Male","Married",37200,1,"Low",6,247
"Young","Male","Single",22900,1,"None",12,814
"Young","Male","Married",55500,3,"Low",12,216
"Young","Female","Single",12800,1,"None",24,365
"Young","Female","Single",17600,2,"Low",18,163
"Old","Female","Single",28300,0,"Medium",24,933
"Old","Male","Single",41900,0,"Medium",6,654
"Young","Female","Single",14100,3,"None",6,153
"Middle","Male","Single",52100,0,"None",12,1668
"Middle","Male","Single",38700,1,"Medium",18,1009
"Middle","Female","Single",44100,1,"Medium",18,1659
"Middle","Male","Married",79200,1,"High",6,1905
"Young","Female","Single",22600,3,"None",6,521
"Middle","Male","Single",55100,2,"None",6,826
"Old","Female","Married",70400,0,"High",18,2610
"Middle","Male","Married",107300,2,"Medium",24,1194
"Middle","Female","Married",66500,1,"None",24,1181
"Young","Male","Single",10200,0,"None",24,362
"Young","Female","Single",41000,1,"Medium",12,768
"Middle","Female","Single",26200,1,"Low",12,381
"Middle","Male","Married",72200,3,"Medium",18,1811
"Middle","Male","Single",36700,1,"Medium",24,1218
"Old","Male","Married",74500,0,"None",18,1413
"Middle","Female","Single",60200,1,"None",12,1748
"Old","Male","Single",34500,0,"Medium",24,639
"Old","Female","Married",83700,0,"High",18,1582
"Young","Male","Single",14800,1,"None",12,376
"Middle","Male","Married",106400,0,"None",12,1757
"Young","Female","Married",42000,3,"Low",6,105
"Middle","Male","Married",118800,0,"High",12,2631
"Young","Female","Single",21900,2,"Low",24,486
"Middle","Male","Single",39500,1,"None",6,412
"Middle","Male","Single",45900,0,"Medium",12,716
"Young","Female","Married",37100,2,"Low",24,653
"Middle","Female","Single",28200,1,"Low",6,224
"Middle","Male","Married",74600,2,"Medium",18,705
"Middle","Male","Married",122700,1,"None",18,4984
"Young","Female","Single",14200,2,"Low",18,197
"Middle","Male","Married",75500,0,"None",18,2450
"Middle","Male","Single",62900,0,"None",24,2561
"Young","Male","Single",19400,0,"Low",6,563
"Middle","Female","Single",46600,0,"None",12,546
"Middle","Male","Married",79700,1,"High",24,3384
"Middle","Male","Single",45900,2,"Low",12,416
"Old","Female","Married",42800,0,"Medium",6,685
"Old","Male","Married",65500,0,"High",24,1931
"Old","Female","Single",33600,0,"Medium",12,573
"Middle","Female","Single",55600,1,"High",18,1553
"Young","Female","Single",24000,2,"None",6,362
"Young","Male","Single",25700,0,"Medium",18,907
"Old","Female","Married",21500,0,"Low",18,445
"Old","Female","Married",68600,0,"High",18,1342
"Young","Female","Single",23100,2,"Low",12,457
"Middle","Female","Married",53300,0,"Medium",24,1598
"Old","Female","Married",112800,0,"High",12,1861
"Old","Male","Married",124900,0,"High",18,4109
"Middle","Female","Single",72200,0,"None",18,3278
"Middle","Male","Single",35100,1,"Low",6,421
"Old","Female","Single",14900,0,"None",12,275
"Middle","Male","Single",72000,0,"High",12,1475
"Middle","Male","Married",82400,0,"High",18,1779
"Young","Male","Married",41600,3,"None",24,1634
"Middle","Female","Married",68500,2,"None",12,1500
"Young","Male","Married",62200,0,"High",24,1348
"Old","Female","Single",35900,0,"None",12,962
"Young","Male","Single",14100,0,"Low",12,328
"Young","Female","Married",36500,1,"None",18,747
"Middle","Female","Married",86400,1,"High",12,1713
"Old","Female","Married",39500,0,"Medium",12,1006
"Old","Male","Married",85300,0,"None",12,2523
"Old","Female","Married",110700,0,"High",12,2458
"Young","Male","Single",17700,0,"Low",18,742
"Young","Female","Married",33200,1,"None",24,1639
"Middle","Female","Single",53800,0,"Medium",12,843
"Old","Male","Single",44400,0,"Medium",18,886
"Middle","Female","Married",135700,1,"High",24,2746
"Young","Female","Single",20700,1,"Low",12,550
"Middle","Male","Married",83500,2,"High",24,2098
"Middle","Female","Married",84200,2,"Medium",24,954
"Middle","Female","Married",79900,1,"Medium",12,1041
"Old","Female","Single",19700,0,"Low",6,535
"Middle","Female","Single",35300,0,"None",18,1369
"Old","Male","Married",52000,0,"High",18,2545
"Young","Male","Single",21300,1,"None",12,329
"Middle","Male","Single",63700,0,"None",6,1351
"Old","Female","Married",25900,0,"Low",18,582
"Middle","Male","Married",65800,2,"Medium",18,578
"Old","Female","Single",11000,0,"None",24,195
"Old","Female","Married",65900,0,"High",12,777
"Middle","Female","Married",108100,1,"High",12,1133
"Middle","Male","Married",107300,2,"Medium",18,1566
"Middle","Female","Married",79500,0,"High",12,1651
"Middle","Female","Married",95900,0,"None",24,3168
"Middle","Male","Single",45200,1,"Medium",18,699
"Middle","Male","Married",98500,0,"High",18,2034
"Old","Female","Married",96200,0,"High",12,1457
"Young","Male","Single",17900,0,"None",18,395
"Middle","Male","Married",42700,0,"Medium",6,541
"Middle","Male","Single",49700,0,"High",24,2844
"Middle","Female","Single",43000,3,"Low",24,225
"Young","Female","Single",15500,1,"Low",6,210
"Young","Male","Single",13000,3,"Low",6,43
"Middle","Female","Single",27200,3,"Low",24,243
"Old","Female","Married",26700,0,"Low",24,1120
"Old","Male","Single",61000,0,"High",6,975
"Middle","Female","Married",76600,3,"None",24,2904
"Middle","Male","Married",117500,2,"Medium",12,927
"Old","Male","Married",90600,0,"High",24,3167
"Young","Female","Single",12600,0,"Low",6,241
"Old","Female","Single",12700,2,"Low",6,65
"Middle","Female","Married",77600,3,"Medium",12,858
"Middle","Female","Married",92400,1,"None",6,2191
"Old","Female","Married",71800,0,"High",24,1946
"Middle","Male","Married",95800,3,"None",12,2581
"Young","Female","Single",32600,3,"Low",12,172
"Middle","Male","Married",74500,2,"Medium",12,824
"Old","Female","Single",29200,0,"Low",12,556
"Young","Female","Single",12900,1,"Low",6,167
"Middle","Male","Married",117700,1,"High",12,2104
"Middle","Female","Married",64100,1,"Medium",18,1332
"Middle","Female","Single",46500,1,"Medium",24,829
"Young","Female","Single",12400,1,"None",12,229
"Middle","Male","Married",130600,0,"High",18,3442
"Middle","Male","Married",74400,0,"High",6,1893
"Old","Female","Single",40600,2,"Medium",6,690
"Young","Female","Married",54200,1,"Medium",6,486
"Middle","Male","Single",65400,1,"High",12,2290
"Middle","Male","Single",49100,0,"None",6,934
"Young","Female","Single",10600,2,"None",24,517
"Young","Female","Married",76400,0,"None",12,2216
"Middle","Female","Married",93700,1,"High",24,1521
"Middle","Male","Single",49000,0,"High",18,1523
"Middle","Female","Married",96500,1,"High",18,1364
"Middle","Male","Single",55600,0,"None",12,952
"Middle","Male","Married",99600,1,"High",6,871
"Middle","Female","Married",79900,3,"Low",12,295
"Old","Female","Married",50500,0,"Medium",12,642
"Old","Female","Single",16300,0,"Low",6,317
"Old","Female","Married",49200,0,"Medium",12,1078
"Middle","Male","Single",48100,2,"Medium",18,961
"Middle","Male","Single",61300,2,"High",24,1241
"Middle","Female","Married",72600,1,"None",18,1999
"Young","Male","Single",19500,0,"None",24,571
"Young","Female","Single",17200,1,"None",12,329
"Middle","Male","Single",51100,0,"High",24,1984
"Middle","Male","Single",76800,1,"Medium",18,1061
"Middle","Male","Single",60200,0,"High",12,1955
"Middle","Male","Single",59100,2,"Low",18,580
"Old","Female","Single",32500,0,"Medium",24,883
"Middle","Female","Single",49500,2,"Medium",12,1195
"Middle","Male","Married",109600,1,"High",12,2318
"Young","Female","Married",47300,0,"None",6,640
"Middle","Male","Married",93000,1,"High",24,2644
"Young","Female","Single",32000,1,"None",24,1320
"Young","Female","Single",44700,1,"Medium",6,502
"Old","Female","Married",69400,0,"High",18,2419
"Middle","Male","Married",64300,2,"Medium",6,661
"Middle","Male","Single",75400,0,"High",24,2723
"Middle","Male","Married",96100,0,"High",6,1588
"Old","Female","Married",118000,3,"Low",12,581
"Young","Male","Married",69700,1,"Medium",12,1432
"Old","Male","Single",59300,0,"Medium",12,929
"Middle","Female","Married",88600,3,"Low",6,212
"Middle","Male","Married",102600,0,"High",18,2546
"Middle","Male","Single",43700,0,"None",18,1344
"Old","Female","Married",22400,0,"None",24,947
"Middle","Male","Married",70500,1,"None",24,2145
"Middle","Male","Married",54200,1,"Medium",6,757
"Middle","Female","Single",25300,1,"None",6,451
"Old","Male","Married",116100,1,"High",24,2975
"Young","Female","Single",15900,0,"None",18,406
"Middle","Female","Single",46600,3,"Low",6,158
"Young","Male","Single",23200,0,"None",24,534
"Young","Male","Single",18200,0,"Low",12,401
"Middle","Female","Married",82700,1,"High",18,1753
"Young","Female","Single",17000,0,"Low",18,659
"Middle","Male","Married",83000,2,"Medium",6,726
"Young","Female","Married",42400,1,"None",18,1166
"Old","Male","Single",40200,2,"None",18,1197
"Young","Female","Single",17300,0,"Low",6,411
"Middle","Female","Married",109800,1,"High",24,2258
"Middle","Female","Single",64400,3,"Medium",24,1913
"Young","Female","Single",27600,1,"Medium",24,893
"Young","Female","Single",25100,1,"None",6,421
"Middle","Female","Single",46300,3,"None",6,1138
"Old","Female","Married",74900,0,"None",12,1804
"Middle","Male","Single",67900,0,"High",18,1418
"Middle","Male","Married",88500,2,"Medium",24,1104
"Middle","Male","Married",99200,3,"None",12,2796
"Old","Female","Married",62800,0,"High",18,1403
"Old","Male","Married",76900,2,"High",24,3230
"Middle","Male","Married",84100,3,"None",6,1352
"Old","Female","Married",77600,0,"High",18,2004
"Young","Female","Single",19100,1,"Low",18,403
"Old","Female","Married",128700,0,"High",24,3995
"Young","Female","Single",14400,1,"Low",6,390
"Old","Male","Married",49600,0,"Medium",6,770
"Middle","Female","Single",47000,0,"None",6,963
"Young","Female","Married",36600,0,"Medium",6,833
"Middle","Female","Single",65800,1,"Medium",12,869
"Middle","Male","Married",52800,2,"Medium",12,926
"Middle","Male","Married",96500,0,"High",24,3780
"Middle","Female","Married",63500,1,"Medium",18,1023
"Middle","Male","Single",60400,1,"Medium",6,791
"Middle","Male","Married",102700,3,"None",12,1473
"Middle","Male","Married",100100,2,"None",6,1597
"Middle","Male","Single",54400,0,"Medium",6,1150
"Middle","Male","Married",105600,3,"Low",6,304
"Old","Female","Married",57900,0,"High",12,1693
"Young","Male","Single",31500,3,"Low",18,269
"Middle","Female","Married",60100,1,"High",18,1430
"Middle","Male","Married",87400,2,"None",18,2729
"Middle","Male","Married",117900,0,"High",6,1760
"Middle","Male","Single",48800,1,"Medium",24,1271
"Middle","Female","Married",67900,3,"Low",12,356
"Old","Male","Married",66200,0,"None",6,1024
"Middle","Male","Married",88000,2,"Medium",6,524
"Middle","Male","Married",94200,1,"High",18,1211
"Young","Female","Single",29200,3,"None",6,636
"Young","Male","Single",15300,0,"Low",24,645
"Young","Male","Single",17500,0,"Low",18,472
"Middle","Male","Single",40200,0,"High",18,1634
"Young","Male","Single",28400,3,"Low",18,182
"Middle","Male","Married",72200,3,"Medium",18,1042
"Middle","Female","Single",55200,0,"High",18,1714
"Middle","Female","Single",44600,0,"Medium",18,966
"Middle","Male","Single",58400,0,"Medium",12,829
"Middle","Female","Single",67800,1,"Medium",6,680
"Old","Female","Single",25500,0,"Low",18,636
"Young","Female","Single",20000,3,"Low",6,182
"Middle","Male","Single",52600,1,"None",18,1773
"Middle","Male","Married",97600,1,"None",12,2902
"Old","Male","Married",23400,0,"Low",6,348
"Middle","Female","Married",102500,3,"Low",12,548
"Middle","Female","Married",52300,1,"High",18,2034
"Middle","Male","Single",65400,0,"High",12,2296
"Young","Male","Single",19600,0,"Low",12,395
"Old","Male","Married",37000,0,"Medium",12,850
"Young","Female","Single",13200,0,"None",18,512
"Middle","Male","Single",63800,1,"Medium",24,1622
"Old","Female","Single",22600,0,"None",12,865
"Old","Female","Single",37300,0,"Medium",6,673
"Young","Male","Single",14900,1,"None",12,422
"Middle","Female","Single",36700,1,"None",6,529
"Middle","Male","Single",63200,0,"High",24,1932
"Old","Male","Married",77300,0,"High",18,1853
"Middle","Male","Single",43100,1,"None",12,1224
"Middle","Female","Single",44800,1,"Medium",6,666
"Old","Female","Married",70900,0,"High",24,1685
"Middle","Female","Single",38200,0,"Medium",24,1476
"Young","Female","Single",18400,1,"Low",6,319
"Middle","Female","Single",40700,3,"Low",18,232
"Old","Male","Single",71300,0,"High",18,1543
"Middle","Female","Single",36400,2,"Low",18,506
"Young","Male","Single",15400,0,"Low",6,172
"Middle","Male","Single",39100,1,"Medium",12,1001
"Middle","Male","Single",43800,0,"Medium",12,606
"Young","Male","Single",25300,0,"Medium",12,591
"Old","Male","Married",71800,0,"High",12,1389
"Middle","Male","Single",73200,0,"High",24,2177
"Middle","Male","Married",79000,1,"High",18,2279
"Middle","Female","Married",75200,1,"None",24,2702
"Young","Female","Single",25300,3,"None",6,510
"Old","Female","Married",43600,0,"Medium",12,1047
"Middle","Male","Married",83600,2,"Medium",6,538
"Middle","Female","Single",56200,0,"High",18,1546
"Young","Male","Married",45500,0,"Medium",6,754
"Middle","Male","Married",99300,1,"High",12,1504
"Middle","Male","Married",108000,3,"High",24,1849
"Middle","Female","Married",84900,1,"High",24,3072
"Middle","Male","Married",93000,3,"High",6,1046
"Middle","Female","Married",82000,0,"High",18,1800
"Old","Female","Single",33000,3,"None",6,700
"Middle","Female","Single",36900,2,"Low",24,514
"Middle","Female","Single",33200,1,"None",6,320
"Young","Male","Married",49300,0,"None",24,1692
"Old","Male","Married",66200,0,"High",24,2057
"Middle","Male","Married",96800,2,"High",18,2299
"Old","Male","Single",63200,0,"High",24,1507
"Middle","Female","Single",32100,2,"Low",24,405
"Middle","Male","Married",102700,1,"High",18,3785
"Middle","Male","Married",123800,2,"None",18,3537
"Old","Female","Single",11700,0,"Low",18,540
"Middle","Male","Married",101700,1,"None",6,941
"Middle","Female","Married",99200,0,"High",24,5503
"Young","Male","Single",17600,0,"None",6,273
"Young","Female","Single",19400,1,"None",18,384
"Middle","Male","Single",40500,1,"None",18,1073
"Old","Male","Single",44800,0,"Medium",24,1417
"Middle","Male","Married",79000,2,"Medium",18,671
"Young","Male","Married",53600,1,"Medium",24,973
"Young","Male","Married",46300,0,"None",24,1682
"Middle","Male","Married",86500,1,"High",18,2753
"Old","Female","Single",17800,0,"Low",6,256
